"_id"	alpha_4	name.ar	numeric	name.bg	name.br	name.ca	name.cs	name.da	name.de	name.el	name.en	name.eo	name.es	name.et	name.fa	name.fi	name.fr	name.gl	name.he	name.hu	name.ia	name.id	name.is	name.it	name.ja	name.ko	name.lt	name.lv	name.ml	name.nb	name.nl	name.nn	name.oc	name.pl	name.pt	name.pt_BR	name.ro	name.ru	name.sk	name.sl	name.sr	name.sr@latin	name.sv	name.th	name.tr	name.uk	name.vi	name.zh_CN	name.zh_HK	name.zh_TW
Cans	Cans	رموز أصلية كندية موحدة	440		Kanadianeg silabenneg broel unanet		Sylabické kanadské domorodé	oprindelige canadiske symboler	UCAS		Unified Canadian Aboriginal Syllabics	Unuigitaj Kanadaj Indiĝenaj Silabaroj	silabarios indígenas canadienses unificados	Kanada põlisrahvaste ühtlustatud silpkiri		Kanadan alkuperäiskansojen yhtenäistetty tavukirjoitus	syllabaire autochtone canadien unifié	Silabarios indíxenas canadenses unificados		Egyesített kanadai őslakos jelek	syllabario autochthone canadian unificate	Silabil Aborigin Kanada Bersatu	Samræmd kanadísk atkvæðaskrift	Simboli aborigeni canadesi unificati	統合カナダ先住民記号	통합 캐나다 토착어	Unifikuoti kanados aborigenų skiemenys	Vienotās Kanādas iezemiešu zilbes		felles kanadiske urspråksstavelser	Verenigde Canadese Aboriginal-symbolen	felles kanadiske urspråksstavingar		zunifikowane symbole kanadyjskich autochtonów	símbolos aborígenes do Canadá Unificado	símbolos aborígenes do Canadá Unificado	Simboluri aborigene canadiene unificate	Унифицированные Символы Канадских Аборигенов		poenotena zlogovna pisava kanadskih staroselcev	уједињени канадски слогови абориџина	ujedinjeni kanadski slogovi aboridžina	Kanadensiska stavelsetecken	รูปพยางค์รวมชนเผ่าพื้นเมืองแคนาดา	UCAS	уніфіковані силабічні канадських аборигенів	Âm Tiết Thổ Dân Ca-na-đa Thống Nhất	加拿大土著统一符号语	加拿大原住民通用字符	加拿大原住民通用字符
Cari	Cari		201		Karianeg		Karijské	kariansk	Carian		Carian	Karia	cario			kaarialainen	carien	Cario		Kariai	cario	Carian	Carian	Carian			Karų	Likija		karisk	Carisch	karisk	Maòri	karyjski			Cariană	Карийская		karijska pisava	каријански	karijanski	Kariska	แคเรีย	Karya	карійська	Ca-ri	卡里亚字母		卡里亞文
Cham	Cham	التشامية	358		Cham		Čam	cham	Cham		Cham	Ĉama	cham	tšami		tšamilainen	cham (čam, tcham)	Cham		Cham	cham	Cham	Cham	Cham	チャム文字		Chamų	Čamorru		cham	Cham	cham		czamski	cham	cham	Cham	Чамская		čamska pisava	чамешки	čameški	Cham	จาม		тьям	Cham	占语	占语	占文
Cher	Cher	الشيروكى	445	Чероки	Cheroki		Čerokí	cherokee	Cherokee		Cherokee	Ĉeroka	cherokee	tšerokii	چروکی	cherokeelainen	tchérokî	Cherokee	צ'רוקית	Cherokee	cherokee	Cheroke	Cherokee	Cherokee	チェロキー文字	체로키 문자	Čerokių	Irokēzu		cherokee	Cherokee	cherokee	Cherokí	czerokeski	cheroqui	cheroqui	Cherokee	Чероки	čerokí	čerokeška pisava	чирокешки	čirokeški	Cherokesiska	เชอโรกี	Çeroki	черокі	Che-rô-khi	切罗基语	柴羅基文	卻洛奇文
Cirt	Cirt	السيرث	291		Cirth		Cirth	cirt	Cirth		Cirth	Kirta (Tolkien)	cirth	cirth		cirth	cirth	Cirth		Cirth	cirth	Cirth	Cirth	Cirth	キアス文字		Cirth	Kirta		cirth	Cirth	cirth		cirth	cirth	cirth	Cirth	Кирт		kirt	сиртошки	sirtoški	Cirth	เซิร์ต	Cirth	кіртська	Cirth	色斯文	色斯文	精靈-色斯文
Copt	Copt	القبطية	204	Коптска	Kopteg	copte	Koptské	koptisk	Koptisch	Κοπτικό	Coptic	Kopta	copto	kopti	قبطی	koptilainen	copte	Copto	קופטית	Kopt	copto	Coptic	Koptískt	Copto	コプト文字	콥트 문자	Koptų	Koptu		koptisk	Koptisch	koptisk	Còpt	koptyjski	cóptico	cóptico	Coptă	Коптская		koptska pisava	коптски	koptski	Koptiska	คอปติก	Koptik	коптська	Giáo hội Ai Cập	克普特语	科普特文	科普特文
Cprt	Cprt	القبرصية	403		Chipreg	xipriota	Kyperské	cypriotisk	Zypriotisch	Κυπριακό	Cypriot	Kipra	chipriota	muinasküprose		muinaiskyproslainen	syllabaire chypriote	Chipriota	קפריסאית	Ciprusi	syllabario cypriota	Cypriot	Kýpverskt	Cipriota	キプロス文字	키프로스 문자	Kipro	Kipras		kypriotisk	Cyprisch	kypriotisk		cypryjski	cipriota	cipriota	Cipriotă	Кипрская		ciprska pisava	кипарски	kiparski	Cypriotiska	ซิพริออต	Kıbrıs	кіпрська	Síp	塞浦路斯语	塞浦路斯文	賽普勒斯文
Cyrl	Cyrl	السيريلية	220	Кирилица	Lizherenneg ar ruseg	ciríl·lic	Cyrilice	kyrillisk	Kyrillisch	Κυριλλικό	Cyrillic	Cirila	cirílico	kirillitsa	سیریلی	kyrillinen	cyrillique	Cirílico	קירילית	Cirill	cyrillico	Cyrillic	Kýrílskt	Cirillico	キリル文字	키릴 문자	Kirilica	Kirilica		kyrillisk	Cyrillisch	kyrillisk	Cirillic	cyrylica	cirílico	cirílico	Chirilică	Кириллица	cyrilské	cirilica	ћирилични	ćirilični	Kyrilliska	ซีริลลิก	Kiril	кирилиця	Chữ Ki-rin	西里尔语	斯拉夫語系	西里爾字母
Cyrs	Cyrs	السيريلية - متغير السلافية الكنسية القديمة	221		Lizhennereg ar ruseg (stumm ar Slaved)		Cyrilice (staroslověnská varianta)	kyrillisk (oldkirkeslavisk variant)	Kyrillisch (Altkirchenslawische Variante)		Cyrillic (Old Church Slavonic variant)	Cirila (slavona vario)	cirílico (alfabeto del eslavo eclesiástico antiguo)	kirikuslaavi kirillitsa		kyrillinen (muinaiskirkkoslaavimuunnelma)	cyrillique (variante slavonne)	Cirílico (alfabeto do eslavo eclesiástico antigo)	קירילית סלאבונית כנסייתית עתיקה	Cirill (Régi templomi szláv változat)	cyrillico (variante slave ecclesiastic ancian)	Cyrillic (Varian dari Gereja Lama Slovenia)	Kýrílskt (Forn-kirkjulegt slavneskt tilbrigði)	Cirillico (variante antica chiesa slavonica)	キリル文字 (古代教会スラブ語の文字)		Kirilica (senasis bažnytinis variantas)	Kirilica (Senslāvu variants)		kirkeslavisk kyrillisk	Cyrillisch (Oudkerkslavische variant)	kyrillisk (kyrkjeslavisk variant)		cyrylica (odmiana staro-cerkiewno-słowiańska)	cirílico eslavo eclesiástico	cirílico eslavo eclesiástico	Chirilică (varianta slavonă bisericească veche)	Старославянская		cirilica (starocerkvenoslovanska različica)	старословенска црквена ћирилица	staroslovenska crkvena ćirilica	Kyrilliska (fornkyrkoslavisk version)	ซีริลลิก (แบบเชิร์ชสลาโวนิกโบราณ)		кирилиця (давньослов’янський варіант)	Chữ Ki-rin (biến thể Xla-vô-ni Nhà Thơ Cũ)	西里尔文字（古教会斯拉夫语的变体）	西里尔文字（古教会斯拉夫语的变体）	西里爾文 (古教會斯拉夫文的變體)
Deva	Deva	الديفاناجارى	315	Деванагари	Devanagari (Nagari)		Devanágarí (nágarí)	devanagari (nagari)	Devanagari (Nagari)		Devanagari (Nagari)	Nagaria	devanagari (Nagari)	devanaagari	دوناگری	devanagari (nagari)	dévanâgarî	Devanagari (Nagari)	דוואנגרי	Devanagari (Nagari)	devanagari	Devanagari (Nagari)	Devanagari (Nagari)	Devanagari (nagari)	デーバナーガリー文字	데바나가리	Devanagari (Nagari)	Devānagāri (Nagari)	ദേവനാഗരി	devanagari	Devanagari (Nagari)	devanagari		dewanagari (nagari)	devanágari	devanágari	Devanagari (Nagari)	Деванагари		devanagari	деванагари (нагари)	devanagari (nagari)	Devanagari (nagari)	เทวนาครี	Devanagari	девангарі (нагарі)	Đe-va-na-ga-ri (Na-ga-ri)	梵文	梵文	梵文字母天城體 (城文)
