"_id"	alpha_4	name.ar	numeric	name.bg	name.br	name.ca	name.cs	name.da	name.de	name.el	name.en	name.eo	name.es	name.et	name.fa	name.fi	name.fr	name.gl	name.he	name.hu	name.ia	name.id	name.is	name.it	name.ja	name.ko	name.lt	name.lv	name.ml	name.nb	name.nl	name.nn	name.oc	name.pl	name.pt	name.pt_BR	name.ro	name.ru	name.sk	name.sl	name.sr	name.sr@latin	name.sv	name.th	name.tr	name.uk	name.vi	name.zh_CN	name.zh_HK	name.zh_TW
Hani	Hani		500		Han (Hanzi, Kanji, Hanja)		Čínské (chan-c')	han (hanzi, kanji, hanja)	Han (Hanzi, Kanji, Hanja)		Han (Hanzi, Kanji, Hanja)	Hana	Han (Hanzi, Kanji, Hanja)			kiinalainen han	idéogrammes han (sinogrammes)	Han (Hanzi, Kanji, Hanja)		Han (Hanzi, Kanji, Hanja)	han (hanzi, kanji, hanja)	Han (Hanzi, Kanji, Hanja)	Han (Hanzi, Kanji, Hanja)	Han (hanzi, kanji, hanja)			Han (kandži)	Ķīniešu (Hanzi, Kandži, Handži)			Han (Hanzi, Kanji, Hanja)			chińskie (hanzi, kanji, hancha)			Han (Hanzi, Kanji, Hanja)	Китайская	kandži	han (hanzi, kandži, handža)	хански (ханси, канџи, ханџа)	hanski (hansi, kandži, handža)	Han (hanzi, kanji, hanja)	ฮั่น (ฮั่นจื้อ, คันจิ, ฮันจา)		хань	Han (Hanzi, Kanji, Hanja)	汉字		漢字
Hano	Hano		371		Hanounoo		Hanunoo (Hanunóo)	hanunoo (hanunóo)	Hanunoo (Hanunóo)		Hanunoo (Hanunóo)	Hanunoa	Hanunoo (Hanunóo)			hanunoolainen	hanounóo	Hanunoo (Hanunóo)		Hanunoo (Hanunóo)	hanunoo	Hanunoo (Hanunóo)	Hanunoo (Hanunóo)	Hanunoo (hanunóo)			Hanunoo (Hanunóo)	Hanunū			Hanunoo (Hanunóo)			hanuno'o			Hanunoo (Hanunóo)	Хануну			ханошки	hanoški	Hanunoo (hanunóo)	ฮานูโนโอ		хануно	Hanunoo (Hanunóo)			含努鬧文
Hans	Hans	الهان المبسطة	501	Опростен китайски	Han (stumm aeset)	han (variant simplificada)	Čínské (zjednodušená varianta)	han (forenklet variant)	Han (vereinfachte Variante)	Κινεζικό Απλοποιημένο	Han (Simplified variant)	Hana (simpligita vario)	han simplificado	hiina lihtsustatud	هان ساده‌شده	han (yksinkertaistettu muunnelma)	idéogrammes han (variante simplifiée)	Han (variante simplificada)	האן מפושט	Han (Egyszerűsített változat)	han (variante simplificate)	Han (Varian yang dimudahkan)	Han (einfaldað tilbrigði)	Han (variante semplificata)	簡体字	중국어 간체	Han (supaprastintas variantas)	Ķīniešu vienkāršotā		forenklet han	Han (vereenvoudigd)	forenkla kinesisk		chiński uproszczony	han simplificado	han simplificado	Han (varianta simplificată)	Упрощенная китайская		han (poenostavljeni zapis)	хански (поједностављени)	hanski (pojednostavljeni)	Han (förenklad variant)	ฮั่นตัวย่อ	Basitleştirilmiş Han	хань (спрощений варіант)	Han (biến thể phổ thông)	简体中文	簡體中文	漢字 (簡化變體)
Hant	Hant	الهان التقليدية	502	Традиционен китайски	Han (stumm gozh)	han (variant tradicional)	Čínské (tradiční varianta)	han (traditionel variant)	Han (Traditionelle Variante)	Κινεζικό Παραδοσιακό	Han (Traditional variant)	Hana (tradicia vario)	han tradicional	hiina traditsiooniline	هان سنتی	han (perinteinen muunnelma)	idéogrammes han (variante traditionnelle)	Han (variante tradicional)	האן מסורתי	Han (Hagyományos változat)	han (variante traditional)	Han (Varian tradisional)	Han (hefðbundið tilbrigði)	Han (variante tradizionale)	繁体字	중국어 번체	Han (tradicinis variantas)	Ķīniešu tradicionālā		tradisjonell han	Han (traditioneel)	tradisjonell kinesisk		chiński tradycyjny	han tradicional	han tradicional	Han (varianta tradițională)	Традиционная китайская		han (tradicionalni zapis)	хански (традиционални)	hanski (tradicionalni)	Han (traditionell variant)	ฮั่นตัวเต็ม	Geleneksel Han	хань (традиційний варіант)	Han (biến thể truyền thống)	繁体中文	繁體中文	漢字 (傳統變體)
Hatr	Hatr		127					hatran	Hatran		Hatran						hatrénien			Hatran		Hatran	Hatran	Hatran				Hatran			Hatran			aramejski hatrański				Хатра			хатрански	hatranski	Hatranska	ฮัตรา		хатранська				
Hebr	Hebr	العبرية	125	Иврит	Hebraeg	hebreu	Hebrejské	hebraisk	Hebräisch	Εβραϊκό	Hebrew	Hebrea	hebreo	heebrea	عبری	heprealainen	hébreu	Hebreo	עברית	Héber	hebreo	Yahudi	Hebreskt	Ebraico	ヘブライ文字	히브리어	Hebrajų	Ivrits	ഹീബ്രു	hebraisk	Hebreeuws	hebraisk	Ebrèu	hebrajski	hebraico	hebraico	Ebraică	Иврит	hebrejské	hebrejska pisava	хебрејски	hebrejski	Hebreiska	ฮีบรู	İbranice	іврит	Do Thái	希伯来语	希伯來文	希伯來文
Hira	Hira	الهيراجانا	410	Японски хирагана	Hiragana		Hiragana	hiragana	Hiragana		Hiragana	Rondaj kanaoj	hiragana	hiragana	هیراگانا	hiragana	hiragana	Hiragana		Hiragana	hiragana	Hiragana	Híragana	Hiragana	ひらがな	히라카나	Hiragana	Hiragana		hiragana	Hiragana	hiragana		hiragana	hiragana	hiragana	Hiragana	Хирагана	hiragana	hiragana	хирагански	hiraganski	Hiragana	ฮิรางานะ	Hiragana	хірагана	Hi-ra-ga-na	平假名	平假名	平假名
Hluw	Hluw		080					anatolske hieroglyffer (luviske hieroglyffer, hittitiske hieroglyffer)	Anatolische Hieroglyphen (Luwische und hethitische Hieroglyphen)		Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)	Anatolaj hieroglifoj (luvitaj hieroglifoj, hititaj hieroglifoj)					hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)			Anatóliai hieroglifák (Luwian hieroglifák, Hittite hieroglifák)	hieroglyphico anatolian (hieroglyphico luvite, hieroglyphico hittite)	Hieroglif Anatolia (Hieroglif Luwian, Hieroglif Hittite)	Anatólískt myndletur (Luwia myndletur, Hittite myndletur)	Geroglifici anatolici (geroglifici luvi, geroglifici ittiti)				Anatolijas hieroglifi (luvijiešu hieroglifi, hetu hieroglifi)						hieroglify anatolijskie (hieroglify luwijskie, hieroglify hetyckie)				Анатолийские иероглифы (хетто-лувийские иероглифы)			анатолијски хијероглифи (лувјански, хититски хијероглифи)	anatolijski hijeroglifi (luvjanski, hititski hijeroglifi)	Anatoliska hieroglyfer (hieroglyfluviska, kilskriftsluviska)	ไฮโรกลิฟอนาโตเลีย (ไฮโรกลิฟลูเวีย, ไฮโรกลิฟฮิตไทต์)						安納托利亞象形文字 (盧維語象形文字，赫梯語象形文字)
Hmng	Hmng	الباهوه همونج	450		Pahawh Hmong		Pahawh Hmong	pahawh hmong	Pahawh Hmong		Pahawh Hmong	Skribo de Pahawh	pahawh hmong			pahawh hmong	pahawh hmong	Pahawh hmong		Pahawh Hmong	pahawh hmong	Pahawh Hmong	Pahawh Hmong	Pahawn hmong	パハウ・フモン文字		Pahawh Hmong	Pahav Hmong		pahawh hmong	Pahawh Hmong	pahawk hmong		pahawh hmong	pahawh hmong	pahawh hmong	Pahawh Hmong	Пахау хмонг		hmonška pisava	пахав хмоншки	pahav hmonški	Pahawh hmong	ม้ง	Pahawh Hmong	пахау хмонг	Miêu Pahawh	杨松录苗文	楊松錄苗文	楊松錄苗文
Hrkt	Hrkt		412		Japaneg (lesanv evit Han + Hiragana + Katakana)		Japonské sylabické (alias pro hiragana + katakana)	japansk stavelsesskrift (alias for hiragana + katakana)	Japanische Syllabaries (Alias für Hiragana + Katakana)		Japanese syllabaries (alias for Hiragana + Katakana)	Japana silabaroj (= Hana + Rondaj kanaoj + Strekaj kanaoj)	japonés (alias para Han + Hiragana + Katakana)			japanilainen tavukirjoitus (alias yhdistelmälle hiragana ja katakana)	syllabaires japonais (alias pour hiragana + katakana)	Xaponés (alias para han + hiragana + katakana)		Japán szótagábécé (a Hiragana + Katakana álneve)	syllabarios japonese (hiragana e katakana)	Silabel Jepang (alias untuk Han + Hiragana + Katakana)	Japanskt sérhljóða (samheiti fyrir Han + Hiragana + Katakana)	Sillabario giapponese (alias per hiragana + katakana)			Japonų (Han + Hiragana + Katakana)	Japāņu zilbes (iekļauj katakana un hiragana)			Japanse lettergrepen (alias voor Hiragana + Katakana)			sylabariusze japońskie (hiragana, katakana)			Japoneză (alias pentru Han + Hiragana + Katakana)	Японское силлабическое письмо (псевдоним для Хирагана + Катакана)	japonské (alias pre han + hiragana + katakana)	japonska pisava (han + hiragana + katakana)	јапански слоговни (алијас за хирагану + катакану)	japanski slogovni (alijas za hiraganu + katakanu)	Japanska stavelseskrifter (alias för hiragana + katakana)	อักษรพยางค์ญี่ปุ่น (= ฮิรางานะ + คาตาคานะ)		японська складова (назва для хірагани + катакани)	Nhật (bí danh đại diện Han + Hiragana + Katakana)	日语		日語音節文字 (平假名+片假名的別名)
Hung	Hung		176					oldungarsk (ungarske runer)	Altungarisch (Ungarische Runen)		Old Hungarian (Hungarian Runic)	Malnova hungara (hungara runeca)					runes hongroises (ancien hongrois)			Régi magyar (Magyar rúnák)	runas hungare (ancian hungaro)	Hungaria Lama (Runik Hungaria)	Forn-ungverska (ungverskt rúnaletur)	Ungherese antico (ungherese runico)				Vecais Ungārijas (Ungārijas Rūnas)			Oudhongaars (Hongaarse runen)			starowęgierski (węgierski runiczny)				Старовенгерская (венгерская руническая)			стари мађарски (мађарске руне)	stari mađarski (mađarske rune)	Fornungerska	ฮังการีเก่า (รูนิกฮังการี)		давня угорська (рунічна угорська)				舊匈牙利語 (匈牙利語古代北歐文字)
Inds	Inds		610		Indus (Harapan)		Harappské	indus (harappan)	Indus (Harappan)		Indus (Harappan)	Indusa (harapa)	proto-índico (alfabeto de Harappa)			induslainen	indus	Proto-índico (alfabeto de Harappa)		Indus (Harappan)	indico (harappano)	Indus (Harappan)	Indus (Harappan)	Indù (harappan)			Indų (harapų)	Indus (Harapana)			Indus (Harappan)			harappejski			Indus (Harappan)	Хараппская (письменность долины Инда)	harappské	induška pisava	индуски (харапан)	induski (harapan)	Indus (harappan)	อินดัส (ฮารัปปัน)		індійська (харапська)	In-du-x (Ha-ra-pa)	印度文字 (哈拉帕文字)		印度河文字 (哈拉帕文字)
Ital	Ital		210		Lzherenn stouet gozh (Etrurieg, Oskaneg, hag all)	antic itàlic (etrusc, osc, etc.)	Staroitalické (etruské, oscan atd.)	olditaliensk (etruskisk, oskansk etc.)	Altitalisch (Etruskisch, Oskisch usw.)		Old Italic (Etruscan, Oscan, etc.)	Malnova itala (etruska, oska, ktp)	itálico antiguo (etrusco, osco, etc.)			vanha italia (etruskit, oskit jne.)	ancien italique (étrusque, osque, etc.)	Itálico antigo (etrusco, osco, etc.)		Régi itáliai (Etruszk, Oscan, stb.)	italico antique (etrusco, osco, etc.)	Italik lama (Etruscan, Oscan, dll.)	Forn-ítalskt (Etruscan, Oscan, o.s.frv.)	Italico antico (etrusco, osco, ecc.)			Senasis italų (etruskų, oskų, etc.)	Vecitāļu (Etruskas, Oskanas, u.c.)			Oud-Italiaans (Etruskisch, Oskisch, etc.)			starowłoski (etruski, oskijski itp.)			Italiană veche (etruscă, oscană, etc.)	Староитальянская (этрусская, оскская и т. д.)		italska pisava (etruščanska, oskijska...)	стари италски (етруски, оскански, итд.)	stari italski (etruski, oskanski, itd.)	Äldre italienska (etruskiska, oskiska o.s.v.)	อิตาลิกโบราณ (อีทรัสกัน, ออสกัน ฯลฯ)		давня італійська (етруська, осканська тощо)	Ý cũ (E-tợ-ru-x-ca, O-x-ca v.v.)	老意大利文字 (伊特鲁里亚、奥斯坎、等等)		古斜體 (伊特魯里亞文、奧斯坎文…)
Jamo	Jamo		284	Корейски	Koreaneg (lesanv evit Hangul + Han)	coreà (àlies de hangul + han)	Korejské (alias pro hangul + han)	jamo (alias for jamoundersættet af hangul)	Jamo (Alias für die Jamo-Untermenge von Hangul)		Jamo (alias for Jamo subset of Hangul)	Korea (= hangula + hana)	coreano (alias para Hangul + Han)			korealainen (alias yhdistelmälle hangul ja han)	jamo (alias pour le sous-ensemble jamo du hangûl )	Coreano (alias para hangul + han)		Koreai (a Hangul + Han álneve)	coreano (hangul e han)	Korea (alias untuk Hangul + Han)	Kóreska (samheiti fyrir Hangul + Han)	Coreano (alias per hangul + han)			Korėjiečių (Hangul + Han)	Korejiešu (iekļauj Hangul + Han)			Koreaans (alias voor (Hangul + Han)			jamo (podzbiór jamo alfabetu hangul)			Koreană (alias pentru Hangul + Han)	Ямо (псевдоним для ямо + хангыль)	kórejské (alias pre hangul + han)	korejska pisava (hangul + han)	корејски (алијас за хангулски + хански)	korejski (alijas za hangulski + hanski)	Jamo (alias för Jamo-delmängden av Hangul)	เกาหลี (= ฮันกึล + ฮั่น)		чамо (назва для набору чамо хангиля)	Hàn (bí danh đại diện Hangul + Han)	韩语		韓文 (諺文+漢字的別名)
Java	Java	الجاوية	361		Javaeg		Javánské	javanesisk	Javanesisch		Javanese	Java	javanés	jaava	جاوه‌ای	jaavalainen	javanais	Xavanés		Jávai	javanese	Jawa	Javaneskt	Javanese	ジャワ文字	자바 문자	Javiečių	Javiešu		javanesisk	Javaans	javanesisk	Javanés	jawajski	javanês	javanês	Javaneză	Яванская		javanska pisava	јавански	javanski	Javanska	ชวา	Cava Dili	яванська	Gia-va	爪哇语	爪哇文	爪哇文
Jpan	Jpan		413		Japaneg (lesanv evit Han + Hiragana + Katakana)	japonès (àlies de han + hiragana + katana)	Japonské (alias pro han + hiragana + katakana)	japansk (alias for han + hiragana + katakana)	Japanisch (Alias für Han + Hiragana + Katakana)		Japanese (alias for Han + Hiragana + Katakana)	Japana (= Hana + Rondaj kanaoj + Strekaj kanaoj)	japonés (alias para Han + Hiragana + Katakana)			japanilainen (alias yhdistelmälle han, hiragana ja katakana)	japonais (alias pour han + hiragana + katakana)	Xaponés (alias para han + hiragana + katakana)		Japán (a Han + Hiragana + Katakana álneve)	japonese (han, hiragana e katakana)	Jepang (alias untuk Han + Hiragana + Katakana)	Japanska (samheiti fyrir Han + Hiragana + Katakana)	Giapponese (alias per han + hiragana + katakana)			Japonų (Han + Hiragana + Katakana)	Japāņu (iekļauj Han + Hiragana + Katakana)			Japans (alias voor Han + Hiragana + Katakana)			japoński (kanji, hiragana, katakana)			Japoneză (alias pentru Han + Hiragana + Katakana)	Японская (тоже, что и хань+хирагана+катакана)	japonské (alias pre han + hiragana + katakana)	japonska pisava (han + hiragana + katakana)	јапански (алијас за хански + хирагану + катакану)	japanski (alijas za hanski + hiraganu + katakanu)	Japanska (alias för han + hiragana + katakana)	ญี่ปุ่น (= ฮั่น + ฮิรางานะ + คาตาคานะ)		японська (назва для хань + хірагани + катакани)	Nhật (bí danh đại diện Han + Hiragana + Katakana)	日语		日文 (漢字+平假名+片假名的別名)
Jurc	Jurc		510				Džürčenské	jurchen	Jurchen		Jurchen	Jurchen				Džurtšen	jurchen			Jurchen	jurchen	Jurchen	Jurchen	Jurchen				Jurčen			Jurchen			dżurdżeński				Чжурчжэньская			јурченски	jurčenski	Jurchen			чжурчженська				女真文
Kali	Kali	الكياه لى	357		Kayah Li		Kayah li	kaya li	Kayah Li		Kayah Li	Kayah Li	Kayah Li	kaja li		kayah li	kayah li	Kayah Li		Kayah Li	kayah li	Kayah Li	Kayah Li	Kayah li			Kayah Li	Kajah li		kayah li	Kayah Li	kayah li		kayah li	kayah li	kayah li	Kayah Li	Кайа		karenska pisava	калишки	kališki	Kayah li	คยาห์	Kayah Li	кая-лі	Kayah Li	克耶李文字	克耶李文字	克耶李文字
Kana	Kana	الكتكانا	411	Японски катакана	Katakana		Katakana	katakana	Katakana		Katakana	Strekaj kanaoj	katakana	katakana	کاتاکانا	katakana	katakana	Katakana		Katakana	katakana	Katakana	Katakana	Katakana	カタカナ	가타카나	Katakana	Katakana		katakana	Katakana	katakana		katakana	katakana	katakana	Katakana	Катакана	katakana	katakana	катакана	katakana	Katakana	คาตาคานะ	Katakana	катакана	Ka-ta-ka-na	片假名	片假名	片假名
Khar	Khar	الخاروشتى	305		Kharoshthi		Kháróští	kharoshti	Kharoshthi		Kharoshthi	Karoŝta	kharosthi	kharoshthi		kharosthi	kharochthî	Kharosthi		Kharoshthi	kharochthi	Kharoshthi	Kharoshthi	Kharoshthi	カローシュティー文字		Kharoshthi	Kharošthi		kharoshthi	Kharoshthi	kharoshthi		kharoszti	kharoshthi	kharoshthi	Kharoshthi	Кхароштхи		gandarska pisava	карошти	karošti	Kharoshti	ขโรษฐี	Kharoshthi	карошті	Kha-ro-s-thi	卡罗须提文	卡罗须提文	卡羅須提文
Khmr	Khmr	الخميرية	355	Кхмерска	Kmereg	khmer	Kmérské	khmerisk	Khmer		Khmer	Kmera	jemer	khmeeri	خمری	khmeriläinen	khmer	Khmer		Khmer	khmer	Khmer	Khmerískt	Khmer	クメール文字	크메르어	Khmerų	Khmeru		khmer	Khmer	khmer	Khmer	khmerski	khmer	khmer	Khmeră	Кхмерская		kmerska pisava	кмерски	kmerski	Khmeriska	เขมร	Khmer	кхмерська	Khơ-me	高棉语	高棉文	高棉文
Khoj	Khoj		322				Khojki	khojki	Khojki		Khojki	Khojki				Khojki	khojkî			Khojki	khojki	Khojki	Khojki	Khojki				Khojki			Khojki			chodżycki				Хойки			кхојшки	khojški	Khojki	โขชกี		хойкі				和卓文
Kitl	Kitl		505					khitansk stor skrift	Khitan Großschrift		Khitan large script						khitan (grande écriture)																	kitańskie pismo duże				Большое киданьское письмо					Khitansk stor skrift			киданська велика писемність				
Kits	Kits		288					khitansk lille skrift	Khitan Kleinschrift		Khitan small script						khitan (petite écriture)																	kitańskie pismo małe				Малое киданьское письмо					Khitansk liten skrift			киданська мала писемність				
Knda	Knda	الكانادا	345		Kannadeg		Kannadské	kannada	Kannada		Kannada	Kanara	canarés	kannada	کاناده‌ای	kannadalainen	kannara (canara)	Canarés	קאנדה	Kannada	kannada	Kannada	Kannadískt	Kannada	カンナダ文字	칸나다	Kannada	Kannadu	കന്നഡ	kannada	Kannada	kannada	Kannadà	kannada	kannada	kannada	Kannada	КаннадаKannada		kanarejska pisava	кндешки	kndeški	Kanaresiska	กัณณาท	Kannada	каннада	Kan-na-đa	卡纳塔克语	坎那達文	卡納達文
Kore	Kore		287	Корейски	Koreaneg (lesanv evit Hangul + Han)	coreà (àlies de hangul + han)	Korejské (alias pro hangul + han)	koreansk (alias for hangul + han)	Koreanisch (Alias für Hangul + Han)		Korean (alias for Hangul + Han)	Korea (= hangula + hana)	coreano (alias para Hangul + Han)			korealainen (alias yhdistelmälle hangul ja han)	coréen (alias pour hangûl + han)	Coreano (alias para hangul + han)		Koreai (a Hangul + Han álneve)	coreano (hangul e han)	Korea (alias untuk Hangul + Han)	Kóreska (samheiti fyrir Hangul + Han)	Coreano (alias per hangul + han)			Korėjiečių (Hangul + Han)	Korejiešu (iekļauj Hangul + Han)			Koreaans (alias voor (Hangul + Han)			koreański (hangyl, hancha)			Koreană (alias pentru Hangul + Han)	Корейская (псевдоним для хангыль + хан)	kórejské (alias pre hangul + han)	korejska pisava (hangul + han)	корејски (алијас за хангулски + хански)	korejski (alijas za hangulski + hanski)	Koreanska (alias för hangul + han)	เกาหลี (= ฮันกึล + ฮั่น)		корейська (назва для хангиля + хань)	Hàn (bí danh đại diện Hangul + Han)	韩语		韓文 (諺文+漢字的別名)
Kpel	Kpel		436				Kpelle	kpelle	Kpelle		Kpelle	Kpela				kpelle	kpèllé	Kpelle		Kpelle	kpelle	Kpelle	Kpelle	Kpelle				Kpellu			Kpelle			kpele			Kpelenă	Кпелле			кпелски	kpelski	Kpelle			кпелле				克佩勒文
Kthi	Kthi	الخاروشتى	317		Kaithi		Kaithi	kaithi	Kaithi		Kaithi	Kajasta	Kaithi	kharoshthi		kaithi	kaithî	Kaithi		Kaithi	kaithi	Kaithi	Kaithi	Kaithi	カローシュティー文字		Kaithi	Kaithi		kharoshthi	Kaithi	kharoshthi		Kaithi	kharoshthi	kharoshthi	Kaithi	Кайтхи		kajatska pisava	каитски	kaitski	Kaithi	ไกถี	Kharoshthi	кайті	Kai-thi	卡罗须提文	卡罗须提文	凱提體
Lana	Lana		351				Tai Tham (Lanna)	tai tham (lanna)	Tai Tham (Lanna)		Tai Tham (Lanna)	Lanna				tai tham (lanna)	taï tham (lanna)	Tai Tham (Lanna)		Tai Tham (Lanna)	tai tham (lanna)	Tai Tham (Lanna)	Tai Tham (Lanna)	Tai tham (Lanna)				Tai Thama (Lanna)			Noordelijk Thai (Lanna)			lannijski			Tai Tham (Lanna)	Тай Там (Ланна)		lana	таитамски (лана)	taitamski (lana)	Tham (lanna)	ธรรมล้านนา		тай там (ланна)	Tai Thal (Lanna)	老傣文 (兰纳文)		老傣文 (蘭納文)
Laoo	Laoo	اللاو	356	Лаоска	Lao		Laoské	laotisk	Laotisch		Lao	Laosa	lao	lao	لائوسی	laolainen	laotien	lao	לאית	Lao	laotiano	Lao	Laó	Lao	ラオ文字	라오어	Lao	Lao		laotisk	Lao	laotisk	Laossian	laotański	lao	lao	Laoțiană	Лаосская		laoška pisava	лаоски	laoski	Laotiska	ลาว	Lao Dili	лаоська	Lào	老挝语	寮國文	老撾文
Latf	Latf	اللاتينية - متغير فراكتر	217		Latin (stumm torret)		Latinka (fraktur)	latinsk (frakturvariant)	Lateinisch (Fraktur-Variante)		Latin (Fraktur variant)	Latina (fraktura vario)	latino (variante fraktur)	ladina fraktuurkiri		latinalainen (fraktuuramuunnelma)	latin (variante brisée)	Latino (variante fraktur)		Latin (Fraktur változat)	latino (variante fraktur)	Latin (varian Fraktur)	Latína (Fraktur tilbrigði)	Latino (variante fraktur)		독일식 로마자	Lotynų (Fraktur variantas)	Latīņu (Frakturas variants)		frakturlatinsk	Latijn (Fraktur-variant)	latinsk (frakturvariant)		łaciński (fraktura)	latim fraktur	latim fraktur	Latină (varianta fraktur)	Латинская фрактура		latinica (gotica)	латиница (фрактур варијанта)	latinica (fraktur varijanta)	Latin (frakturvariant)	ละติน (แบบแฟรกทูร์)	Fraktur Latin	латиниця (фрактура)	La-tinh (biến thể Fraktur)	拉丁文（哥特式字体变体）	拉丁文（尖角體活字變體）	拉丁文（尖角活字變體）
Latg	Latg		216		Latin (stumm Gouezeleg)	llatí (variant gaèlica)	Latinka (gaelská varianta)	latinsk (gælisk variant)	Lateinisch (Gälische Variante)		Latin (Gaelic variant)	Latina (irlanda vario)	latino (variante gaélica)			latinalainen (gaelilainen muunnelma)	latin (variante gaélique)	Latino (variante gaélica)		Latin (Kelta változat)	latino (variante gaelic)	Latin (varian Gaelic)	Latína (gelískt tilbrigði)	Latino (variante gaelica)			Lotynų (gėlų variantas)	Latīņu (Gēlu variants)			Latijn (Gaelic-variant)			łaciński gaelicki			Latină (variantă galică)	Гэльская латинская		latinica (gelska)	латиница (галска варијанта)	latinica (galska varijanta)	Latin (gaelisk variant)	ละติน (แบบเกลิก)		латиниця (гельський варіант)	La-tinh (biến thể Xen-tơ)			拉丁文 (蓋爾語變體)
Latn	Latn	اللاتينية	215	Латинска	Latin	llatí	Latinka	latinsk	Lateinisch	Λατινικό	Latin	Latina	latino	ladina	لاتین	latinalainen	latin	Latino	לטינית	Latin	latino	Latin	Latneskt	Latino	ラテン文字	라틴어	Lotynų	Latīņu	ലാറ്റിന്‍	latinsk	Latijn	latinsk	Latin	łaciński	latim	latim	Latină	Латинская	latinské	latinica	латински	latinski	Latin	ละติน	Latin	латиниця	La-tinh	拉丁语	拉丁文	拉丁文
Leke	Leke		364					leke	Leke		Leke						leke																	leke				Леке					Leke			леке				
Lepc	Lepc	الليبتشا - رونج	335		Lepcha (Róng)		Lepčské	lepcha (róng)	Lepcha (Róng)		Lepcha (Róng)	Lepĉa	lepcha (Róng)	leptša		lepchalainen	lepcha (róng)	Lepcha (Róng)		Lepcha (Róng)	lepcha (róng)	Lepcha (Róng)	Lepcha (Róng)	Lepcha (róng)	レプチャ文字 (ロン文字)		Lepcha (Róng)	Lepča (Rōng)		lepcha	Lepcha (Róng)	lepcha (róng)		lepcza (Róng-Ríng)	lepcha	lepcha	Lepcha (Róng)	Лепха		lepška pisava	лепчански (ронг)	lepčanski (rong)	Lepcha (róng)	เลปชา	Lepcha	лепча (ронґ)	Lep-cha (Róng)	雷布查语	雷布查语	雷布查文 (絨文)
Limb	Limb	الليمبو	336		Limbourgeg		Limbu	limbu	Limbu		Limbu	Limbua	limbu	limbu		limbulainen	limbou	Limbu		Limbu	limbu	Limbu	Limbú	Limbu	リンブ文字	림부어	Limbu	Limbu		limbu	Limbu	lumbu	Litua	limbu	limbu	limbu	Limbu	Лимбу		limbuška pisava	лимпшки	limpški	Limbu	ลิมบู	Limbu	лімбу	Lim-bu	林布语	林佈文	林佈文
Lina	Lina	الخطية أ	400		Linenneg A	lineal A	Lineární A	lineær A	Linear A	Γραμμική Α	Linear A	Skribo linia A	lineal A	lineaar-A		lineaari-A	linéaire A	Lineal A		Lineáris A	linear A	Linear A	Línulegt A	Lineare A			Linijinis A	Lineārā A		lineær A	Lineair A	lineær A		linearny A			Grecă lineară A	Линейное письмо А	lineárne písmo A	linearna pisava A	линеарни А	linearni A	Linear A	ลีเนียร์เอ	Lineer A	лінійна писемність A	Tuyến A	线形文字 A	線性文字 A	線性文字 A
Linb	Linb	الخطية ب	401		Linenneg B	lineal B	Lineární B	lineær B	Linear B	Γραμμική Β	Linear B	Skribo linia B	lineal B	lineaar-B		lineaari-B	linéaire B	Lineal B		Lineáris B	linear B	Linear B	Línulegt B	Lineare B	線文字B	선형 문자 B	Linijinis B	Lineārā B		lineær B	Lineair B	lineær B		linearny B	b linear	b linear	Grecă lineară B	Линейное письмо Б	lineárne písmo B	linearna pisava B	линеарни Б	linearni B	Linear B	ลีเนียร์บี	Lineer B	лінійна писемність B	Tuyến B	线形文字 B	線性文字 B	線性文字 B
Lisu	Lisu		399				Lisu (Fraserovo)	lisu (fraser)	Lisu (Fraser)		Lisu (Fraser)	Lisua (Fraser)				lisu	lisu (Fraser)	Lisu (Fraser)		Lisu (Fraser)	lisu (Fraser)	Lisu (Fraser)	Lisu (Fraser)	Lisu (Fraser)				Lisu (Fraser)			Lisu (Fraser)			lisu (Frasera)			Lisu (Fraser)	Лису (алфавит Фрейзера)			лизушки (фразерски)	lizuški (frazerski)	Lisu (fraser)	ลีซอ		лісу (за Фрейзером)	Lisu (Fraser)	老傈僳文 (富能仁)		老傈僳文 (富能仁)
Loma	Loma		437				Loma	loma	Loma		Loma	Loma				loma-kieli	loma	Loma		Loma	loma	Loma	Loma	Loma				Loma			Loma			loma			Loma	Лома			ломски	lomski	Loma			лома				洛馬文
Lyci	Lyci		202		Lisianeg		Lykijské	lykisk	Lykisch		Lycian	Likia	licio			lyykialainen	lycien	Licio		Líciai	lycio	Lycian	Lycian	Licio			Likiečių	Likijas		lykisk	Lycisch	lykisk	Croacia	licyjski	lício	lício	Lyciană	Лициан		licijska pisava	ликијски	likijski	Lykiska	ลิเชีย	Likya Dili	лікійська	Ly-xi	利西亚语		呂基亞文
Lydi	Lydi		116		Lidianeg		Lýdské	lydisk	Lydisch		Lydian	Lidia	lidio			lyydialainen	lydien	Lidio		Lüd	lydio	Lydian	Lydian	Lidio			Lidų	Līdiešu		lydisk	Lydisch	lydisk	Croacia	lidyjski	lídio	lídio	Lidiană	Лидийская		lidijska pisava	лидијски	lidijski	Lydiska	ลิเดีย	Lidya DIli	лідійська	Ly-đi-a	吕底亚语		利底安文
